id,chapter,level,smallLevel,aptNPC,fanNPC,reward
1884,46,5,7,187206,874800,"[102,18,0,0]"
1885,46,5,8,192456,891000,"[102,19,0,0]"
1886,46,6,1,0,0,[]
1887,47,1,1,165640,820000,"[102,18,0,0]"
1888,47,1,2,168952,828200,"[102,18,0,0]"
1889,47,1,3,172298,836400,"[102,18,0,0]"
1890,47,1,4,175676,844600,"[102,18,0,0]"
1891,47,1,5,179088,852800,"[102,18,0,0]"
1892,47,1,6,184270,869200,"[102,18,0,0]"
1893,47,1,7,189518,885600,"[102,18,0,0]"
1894,47,1,8,194832,902000,"[102,19,0,0]"
1895,47,2,1,167660,830000,"[102,18,0,0]"
1896,47,2,2,171012,838300,"[102,18,0,0]"
1897,47,2,3,174398,846600,"[102,18,0,0]"
1898,47,2,4,177818,854900,"[102,18,0,0]"
1899,47,2,5,181272,863200,"[102,18,0,0]"
1900,47,2,6,186516,879800,"[102,18,0,0]"
1901,47,2,7,191828,896400,"[102,18,0,0]"
1902,47,2,8,197208,913000,"[102,19,0,0]"
1903,47,3,1,169680,840000,"[102,18,0,0]"
1904,47,3,2,173072,848400,"[102,18,0,0]"
1905,47,3,3,176500,856800,"[102,18,0,0]"
1906,47,3,4,179960,865200,"[102,18,0,0]"
1907,47,3,5,183456,873600,"[102,18,0,0]"
1908,47,3,6,188764,890400,"[102,18,0,0]"
1909,47,3,7,194140,907200,"[102,18,0,0]"
1910,47,3,8,199584,924000,"[102,19,0,0]"
1911,47,4,1,171700,850000,"[102,18,0,0]"
1912,47,4,2,175134,858500,"[102,18,0,0]"
1913,47,4,3,178602,867000,"[102,18,0,0]"
1914,47,4,4,182104,875500,"[102,18,0,0]"
1915,47,4,5,185640,884000,"[102,18,0,0]"
1916,47,4,6,191012,901000,"[102,18,0,0]"
1917,47,4,7,196452,918000,"[102,18,0,0]"
1918,47,4,8,201960,935000,"[102,19,0,0]"
1919,47,5,1,173720,860000,"[102,18,0,0]"
1920,47,5,2,177194,868600,"[102,18,0,0]"
1921,47,5,3,180702,877200,"[102,18,0,0]"
1922,47,5,4,184246,885800,"[102,18,0,0]"
1923,47,5,5,187824,894400,"[102,18,0,0]"
1924,47,5,6,193258,911600,"[102,18,0,0]"
1925,47,5,7,198762,928800,"[102,18,0,0]"
1926,47,5,8,204336,946000,"[102,19,0,0]"
1927,47,6,1,0,0,[]
1928,48,1,1,175740,870000,"[102,18,0,0]"
1929,48,1,2,179254,878700,"[102,18,0,0]"
1930,48,1,3,182804,887400,"[102,18,0,0]"
1931,48,1,4,186388,896100,"[102,18,0,0]"
1932,48,1,5,190008,904800,"[102,18,0,0]"
1933,48,1,6,195506,922200,"[102,18,0,0]"
1934,48,1,7,201074,939600,"[102,18,0,0]"
1935,48,1,8,206712,957000,"[102,19,0,0]"
1936,48,2,1,177760,880000,"[102,18,0,0]"
1937,48,2,2,181314,888800,"[102,18,0,0]"
1938,48,2,3,184904,897600,"[102,18,0,0]"
1939,48,2,4,188530,906400,"[102,18,0,0]"
1940,48,2,5,192192,915200,"[102,18,0,0]"
1941,48,2,6,197752,932800,"[102,18,0,0]"
1942,48,2,7,203384,950400,"[102,18,0,0]"
1943,48,2,8,209088,968000,"[102,19,0,0]"
1944,48,3,1,179780,890000,"[102,18,0,0]"
1945,48,3,2,183374,898900,"[102,18,0,0]"
1946,48,3,3,187006,907800,"[102,18,0,0]"
1947,48,3,4,190672,916700,"[102,18,0,0]"
1948,48,3,5,194376,925600,"[102,18,0,0]"
1949,48,3,6,200000,943400,"[102,18,0,0]"
1950,48,3,7,205696,961200,"[102,18,0,0]"
1951,48,3,8,211464,979000,"[102,19,0,0]"
1952,48,4,1,181800,900000,"[102,18,0,0]"
1953,48,4,2,185436,909000,"[102,18,0,0]"
1954,48,4,3,189108,918000,"[102,18,0,0]"
1955,48,4,4,192816,927000,"[102,18,0,0]"
1956,48,4,5,196560,936000,"[102,18,0,0]"
1957,48,4,6,202248,954000,"[102,18,0,0]"
1958,48,4,7,208008,972000,"[102,18,0,0]"
1959,48,4,8,213840,990000,"[102,19,0,0]"
1960,48,5,1,183820,910000,"[102,18,0,0]"
1961,48,5,2,187496,919100,"[102,18,0,0]"
1962,48,5,3,191208,928200,"[102,18,0,0]"
1963,48,5,4,194958,937300,"[102,18,0,0]"
1964,48,5,5,198744,946400,"[102,18,0,0]"
1965,48,5,6,204494,964600,"[102,18,0,0]"
1966,48,5,7,210318,982800,"[102,18,0,0]"
1967,48,5,8,216216,1001000,"[102,19,0,0]"
1968,48,6,1,0,0,[]
1969,49,1,1,185840,920000,"[102,18,0,0]"
1970,49,1,2,189556,929200,"[102,18,0,0]"
1971,49,1,3,193310,938400,"[102,18,0,0]"
1972,49,1,4,197100,947600,"[102,18,0,0]"
1973,49,1,5,200928,956800,"[102,18,0,0]"
1974,49,1,6,206742,975200,"[102,18,0,0]"
1975,49,1,7,212630,993600,"[102,18,0,0]"
1976,49,1,8,218592,1012000,"[102,19,0,0]"
1977,49,2,1,187860,930000,"[102,18,0,0]"
1978,49,2,2,191616,939300,"[102,18,0,0]"
1979,49,2,3,195410,948600,"[102,18,0,0]"
1980,49,2,4,199242,957900,"[102,18,0,0]"
1981,49,2,5,203112,967200,"[102,18,0,0]"
1982,49,2,6,208988,985800,"[102,18,0,0]"
1983,49,2,7,214940,1004400,"[102,18,0,0]"
1984,49,2,8,220968,1023000,"[102,19,0,0]"
1985,49,3,1,189880,940000,"[102,18,0,0]"
1986,49,3,2,193676,949400,"[102,18,0,0]"
1987,49,3,3,197512,958800,"[102,18,0,0]"
1988,49,3,4,201384,968200,"[102,18,0,0]"
1989,49,3,5,205296,977600,"[102,18,0,0]"
1990,49,3,6,211236,996400,"[102,18,0,0]"
1991,49,3,7,217252,1015200,"[102,18,0,0]"
1992,49,3,8,223344,1034000,"[102,19,0,0]"
1993,49,4,1,191900,950000,"[102,18,0,0]"
1994,49,4,2,195738,959500,"[102,18,0,0]"
1995,49,4,3,199614,969000,"[102,18,0,0]"
1996,49,4,4,203528,978500,"[102,18,0,0]"
1997,49,4,5,207480,988000,"[102,18,0,0]"
1998,49,4,6,213484,1007000,"[102,18,0,0]"
1999,49,4,7,219564,1026000,"[102,18,0,0]"
2000,49,4,8,225720,1045000,"[102,19,0,0]"
2001,49,5,1,193920,960000,"[102,18,0,0]"
2002,49,5,2,197798,969600,"[102,18,0,0]"
2003,49,5,3,201714,979200,"[102,18,0,0]"
2004,49,5,4,205670,988800,"[102,18,0,0]"
2005,49,5,5,209664,998400,"[102,18,0,0]"
2006,49,5,6,215730,1017600,"[102,18,0,0]"
2007,49,5,7,221874,1036800,"[102,18,0,0]"
2008,49,5,8,228096,1056000,"[102,19,0,0]"
2009,49,6,1,0,0,[]
2010,50,1,1,195940,970000,"[102,18,0,0]"
2011,50,1,2,199858,979700,"[102,18,0,0]"
2012,50,1,3,203816,989400,"[102,18,0,0]"
2013,50,1,4,207812,999100,"[102,18,0,0]"
2014,50,1,5,211848,1008800,"[102,18,0,0]"
2015,50,1,6,217978,1028200,"[102,18,0,0]"
2016,50,1,7,224186,1047600,"[102,18,0,0]"
2017,50,1,8,230472,1067000,"[102,19,0,0]"
2018,50,2,1,197960,980000,"[102,18,0,0]"
2019,50,2,2,201918,989800,"[102,18,0,0]"
2020,50,2,3,205916,999600,"[102,18,0,0]"
2021,50,2,4,209954,1009400,"[102,18,0,0]"
2022,50,2,5,214032,1019200,"[102,18,0,0]"
2023,50,2,6,220224,1038800,"[102,18,0,0]"
2024,50,2,7,226496,1058400,"[102,18,0,0]"
2025,50,2,8,232848,1078000,"[102,19,0,0]"
2026,50,3,1,199980,990000,"[102,18,0,0]"
2027,50,3,2,203978,999900,"[102,18,0,0]"
2028,50,3,3,208018,1009800,"[102,18,0,0]"
2029,50,3,4,212096,1019700,"[102,18,0,0]"
2030,50,3,5,216216,1029600,"[102,18,0,0]"
2031,50,3,6,222472,1049400,"[102,18,0,0]"
2032,50,3,7,228808,1069200,"[102,18,0,0]"
2033,50,3,8,235224,1089000,"[102,19,0,0]"
2034,50,4,1,202000,1000000,"[102,18,0,0]"
2035,50,4,2,206040,1010000,"[102,18,0,0]"
2036,50,4,3,210120,1020000,"[102,18,0,0]"
2037,50,4,4,214240,1030000,"[102,18,0,0]"
2038,50,4,5,218400,1040000,"[102,18,0,0]"
2039,50,4,6,224720,1060000,"[102,18,0,0]"
2040,50,4,7,231120,1080000,"[102,18,0,0]"
2041,50,4,8,237600,1100000,"[102,19,0,0]"
2042,50,5,1,204020,1010000,"[102,18,0,0]"
2043,50,5,2,208100,1020100,"[102,18,0,0]"
2044,50,5,3,212220,1030200,"[102,18,0,0]"
2045,50,5,4,216382,1040300,"[102,18,0,0]"
2046,50,5,5,220584,1050400,"[102,18,0,0]"
2047,50,5,6,226966,1070600,"[102,18,0,0]"
2048,50,5,7,233430,1090800,"[102,18,0,0]"
2049,50,5,8,239976,1111000,"[102,19,0,0]"
2050,50,6,1,0,0,[]
2051,51,1,1,206040,1020000,"[102,18,0,0]"
2052,51,1,2,210160,1030200,"[102,18,0,0]"
2053,51,1,3,214322,1040400,"[102,18,0,0]"
2054,51,1,4,218524,1050600,"[102,18,0,0]"
2055,51,1,5,222768,1060800,"[102,18,0,0]"
2056,51,1,6,229214,1081200,"[102,18,0,0]"
2057,51,1,7,235742,1101600,"[102,18,0,0]"
2058,51,1,8,242352,1122000,"[102,19,0,0]"
2059,51,2,1,208060,1030000,"[102,18,0,0]"
2060,51,2,2,212220,1040300,"[102,18,0,0]"
2061,51,2,3,216422,1050600,"[102,18,0,0]"
2062,51,2,4,220666,1060900,"[102,18,0,0]"
2063,51,2,5,224952,1071200,"[102,18,0,0]"
2064,51,2,6,231460,1091800,"[102,18,0,0]"
2065,51,2,7,238052,1112400,"[102,18,0,0]"
2066,51,2,8,244728,1133000,"[102,19,0,0]"
2067,51,3,1,210080,1040000,"[102,18,0,0]"
2068,51,3,2,214280,1050400,"[102,18,0,0]"
2069,51,3,3,218524,1060800,"[102,18,0,0]"
2070,51,3,4,222808,1071200,"[102,18,0,0]"
2071,51,3,5,227136,1081600,"[102,18,0,0]"
2072,51,3,6,233708,1102400,"[102,18,0,0]"
2073,51,3,7,240364,1123200,"[102,18,0,0]"
2074,51,3,8,247104,1144000,"[102,19,0,0]"
2075,51,4,1,212100,1050000,"[102,18,0,0]"
2076,51,4,2,216342,1060500,"[102,18,0,0]"
2077,51,4,3,220626,1071000,"[102,18,0,0]"
2078,51,4,4,224952,1081500,"[102,18,0,0]"
2079,51,4,5,229320,1092000,"[102,18,0,0]"
2080,51,4,6,235956,1113000,"[102,18,0,0]"
2081,51,4,7,242676,1134000,"[102,18,0,0]"
2082,51,4,8,249480,1155000,"[102,19,0,0]"
2083,51,5,1,214120,1060000,"[102,18,0,0]"
2084,51,5,2,218402,1070600,"[102,18,0,0]"
2085,51,5,3,222726,1081200,"[102,18,0,0]"
2086,51,5,4,227094,1091800,"[102,18,0,0]"
2087,51,5,5,231504,1102400,"[102,18,0,0]"
2088,51,5,6,238202,1123600,"[102,18,0,0]"
2089,51,5,7,244986,1144800,"[102,18,0,0]"
2090,51,5,8,251856,1166000,"[102,19,0,0]"
2091,51,6,1,0,0,[]
2092,52,1,1,216140,1070000,"[102,18,0,0]"
2093,52,1,2,220462,1080700,"[102,18,0,0]"
2094,52,1,3,224828,1091400,"[102,18,0,0]"
2095,52,1,4,229236,1102100,"[102,18,0,0]"
2096,52,1,5,233688,1112800,"[102,18,0,0]"
2097,52,1,6,240450,1134200,"[102,18,0,0]"
2098,52,1,7,247298,1155600,"[102,18,0,0]"
2099,52,1,8,254232,1177000,"[102,19,0,0]"
2100,52,2,1,218160,1080000,"[102,18,0,0]"
2101,52,2,2,222522,1090800,"[102,18,0,0]"
2102,52,2,3,226928,1101600,"[102,18,0,0]"
2103,52,2,4,231378,1112400,"[102,18,0,0]"
2104,52,2,5,235872,1123200,"[102,18,0,0]"
2105,52,2,6,242696,1144800,"[102,18,0,0]"
2106,52,2,7,249608,1166400,"[102,18,0,0]"
2107,52,2,8,256608,1188000,"[102,19,0,0]"
2108,52,3,1,220180,1090000,"[102,18,0,0]"
2109,52,3,2,224582,1100900,"[102,18,0,0]"
2110,52,3,3,229030,1111800,"[102,18,0,0]"
2111,52,3,4,233520,1122700,"[102,18,0,0]"
2112,52,3,5,238056,1133600,"[102,18,0,0]"
2113,52,3,6,244944,1155400,"[102,18,0,0]"
2114,52,3,7,251920,1177200,"[102,18,0,0]"
2115,52,3,8,258984,1199000,"[102,19,0,0]"
2116,52,4,1,222200,1100000,"[102,18,0,0]"
2117,52,4,2,226644,1111000,"[102,18,0,0]"
2118,52,4,3,231132,1122000,"[102,18,0,0]"
2119,52,4,4,235664,1133000,"[102,18,0,0]"
2120,52,4,5,240240,1144000,"[102,18,0,0]"
2121,52,4,6,247192,1166000,"[102,18,0,0]"
2122,52,4,7,254232,1188000,"[102,18,0,0]"
2123,52,4,8,261360,1210000,"[102,19,0,0]"
2124,52,5,1,224220,1110000,"[102,18,0,0]"
2125,52,5,2,228704,1121100,"[102,18,0,0]"
2126,52,5,3,233232,1132200,"[102,18,0,0]"
2127,52,5,4,237806,1143300,"[102,18,0,0]"
2128,52,5,5,242424,1154400,"[102,18,0,0]"
2129,52,5,6,249438,1176600,"[102,18,0,0]"
2130,52,5,7,256542,1198800,"[102,18,0,0]"
2131,52,5,8,263736,1221000,"[102,19,0,0]"
2132,52,6,1,0,0,[]
2133,53,1,1,226240,1120000,"[102,18,0,0]"
2134,53,1,2,230764,1131200,"[102,18,0,0]"
2135,53,1,3,235334,1142400,"[102,18,0,0]"
2136,53,1,4,239948,1153600,"[102,18,0,0]"
2137,53,1,5,244608,1164800,"[102,18,0,0]"
2138,53,1,6,251686,1187200,"[102,18,0,0]"
2139,53,1,7,258854,1209600,"[102,18,0,0]"
2140,53,1,8,266112,1232000,"[102,19,0,0]"
2141,53,2,1,228260,1130000,"[102,18,0,0]"
2142,53,2,2,232824,1141300,"[102,18,0,0]"
2143,53,2,3,237434,1152600,"[102,18,0,0]"
2144,53,2,4,242090,1163900,"[102,18,0,0]"
2145,53,2,5,246792,1175200,"[102,18,0,0]"
2146,53,2,6,253932,1197800,"[102,18,0,0]"
2147,53,2,7,261164,1220400,"[102,18,0,0]"
2148,53,2,8,268488,1243000,"[102,19,0,0]"
2149,53,3,1,230280,1140000,"[102,18,0,0]"
2150,53,3,2,234884,1151400,"[102,18,0,0]"
2151,53,3,3,239536,1162800,"[102,18,0,0]"
2152,53,3,4,244232,1174200,"[102,18,0,0]"
2153,53,3,5,248976,1185600,"[102,18,0,0]"
2154,53,3,6,256180,1208400,"[102,18,0,0]"
2155,53,3,7,263476,1231200,"[102,18,0,0]"
2156,53,3,8,270864,1254000,"[102,19,0,0]"
2157,53,4,1,232300,1150000,"[102,18,0,0]"
2158,53,4,2,236946,1161500,"[102,18,0,0]"
2159,53,4,3,241638,1173000,"[102,18,0,0]"
2160,53,4,4,246376,1184500,"[102,18,0,0]"
2161,53,4,5,251160,1196000,"[102,18,0,0]"
2162,53,4,6,258428,1219000,"[102,18,0,0]"
2163,53,4,7,265788,1242000,"[102,18,0,0]"
2164,53,4,8,273240,1265000,"[102,19,0,0]"
2165,53,5,1,234320,1160000,"[102,18,0,0]"
2166,53,5,2,239006,1171600,"[102,18,0,0]"
2167,53,5,3,243738,1183200,"[102,18,0,0]"
2168,53,5,4,248518,1194800,"[102,18,0,0]"
2169,53,5,5,253344,1206400,"[102,18,0,0]"
2170,53,5,6,260674,1229600,"[102,18,0,0]"
2171,53,5,7,268098,1252800,"[102,18,0,0]"
2172,53,5,8,275616,1276000,"[102,19,0,0]"
2173,53,6,1,0,0,[]
2174,54,1,1,236340,1170000,"[102,18,0,0]"
2175,54,1,2,241066,1181700,"[102,18,0,0]"
2176,54,1,3,245840,1193400,"[102,18,0,0]"
2177,54,1,4,250660,1205100,"[102,18,0,0]"
2178,54,1,5,255528,1216800,"[102,18,0,0]"
2179,54,1,6,262922,1240200,"[102,18,0,0]"
2180,54,1,7,270410,1263600,"[102,18,0,0]"
2181,54,1,8,277992,1287000,"[102,19,0,0]"
2182,54,2,1,238360,1180000,"[102,18,0,0]"
2183,54,2,2,243126,1191800,"[102,18,0,0]"
2184,54,2,3,247940,1203600,"[102,18,0,0]"
2185,54,2,4,252802,1215400,"[102,18,0,0]"
2186,54,2,5,257712,1227200,"[102,18,0,0]"
2187,54,2,6,265168,1250800,"[102,18,0,0]"
2188,54,2,7,272720,1274400,"[102,18,0,0]"
2189,54,2,8,280368,1298000,"[102,19,0,0]"
2190,54,3,1,240380,1190000,"[102,18,0,0]"
2191,54,3,2,245186,1201900,"[102,18,0,0]"
2192,54,3,3,250042,1213800,"[102,18,0,0]"
2193,54,3,4,254944,1225700,"[102,18,0,0]"
2194,54,3,5,259896,1237600,"[102,18,0,0]"
2195,54,3,6,267416,1261400,"[102,18,0,0]"
2196,54,3,7,275032,1285200,"[102,18,0,0]"
2197,54,3,8,282744,1309000,"[102,19,0,0]"
2198,54,4,1,242400,1200000,"[102,18,0,0]"
2199,54,4,2,247248,1212000,"[102,18,0,0]"
2200,54,4,3,252144,1224000,"[102,18,0,0]"
2201,54,4,4,257088,1236000,"[102,18,0,0]"
2202,54,4,5,262080,1248000,"[102,18,0,0]"
2203,54,4,6,269664,1272000,"[102,18,0,0]"
2204,54,4,7,277344,1296000,"[102,18,0,0]"
2205,54,4,8,285120,1320000,"[102,19,0,0]"
2206,54,5,1,244420,1210000,"[102,18,0,0]"
2207,54,5,2,249308,1222100,"[102,18,0,0]"
2208,54,5,3,254244,1234200,"[102,18,0,0]"
2209,54,5,4,259230,1246300,"[102,18,0,0]"
2210,54,5,5,264264,1258400,"[102,18,0,0]"
2211,54,5,6,271910,1282600,"[102,18,0,0]"
2212,54,5,7,279654,1306800,"[102,18,0,0]"
2213,54,5,8,287496,1331000,"[102,19,0,0]"
2214,54,6,1,0,0,[]
2215,55,1,1,246440,1220000,"[102,18,0,0]"
2216,55,1,2,251368,1232200,"[102,18,0,0]"
2217,55,1,3,256346,1244400,"[102,18,0,0]"
2218,55,1,4,261372,1256600,"[102,18,0,0]"
2219,55,1,5,266448,1268800,"[102,18,0,0]"
2220,55,1,6,274158,1293200,"[102,18,0,0]"
2221,55,1,7,281966,1317600,"[102,18,0,0]"
2222,55,1,8,289872,1342000,"[102,19,0,0]"
2223,55,2,1,248460,1230000,"[102,18,0,0]"
2224,55,2,2,253428,1242300,"[102,18,0,0]"
2225,55,2,3,258446,1254600,"[102,18,0,0]"
2226,55,2,4,263514,1266900,"[102,18,0,0]"
2227,55,2,5,268632,1279200,"[102,18,0,0]"
2228,55,2,6,276404,1303800,"[102,18,0,0]"
2229,55,2,7,284276,1328400,"[102,18,0,0]"
2230,55,2,8,292248,1353000,"[102,19,0,0]"
2231,55,3,1,250480,1240000,"[102,18,0,0]"
2232,55,3,2,255488,1252400,"[102,18,0,0]"
2233,55,3,3,260548,1264800,"[102,18,0,0]"
2234,55,3,4,265656,1277200,"[102,18,0,0]"
2235,55,3,5,270816,1289600,"[102,18,0,0]"
2236,55,3,6,278652,1314400,"[102,18,0,0]"
2237,55,3,7,286588,1339200,"[102,18,0,0]"
2238,55,3,8,294624,1364000,"[102,19,0,0]"
2239,55,4,1,252500,1250000,"[102,18,0,0]"
2240,55,4,2,257550,1262500,"[102,18,0,0]"
2241,55,4,3,262650,1275000,"[102,18,0,0]"
2242,55,4,4,267800,1287500,"[102,18,0,0]"
2243,55,4,5,273000,1300000,"[102,18,0,0]"
2244,55,4,6,280900,1325000,"[102,18,0,0]"
2245,55,4,7,288900,1350000,"[102,18,0,0]"
2246,55,4,8,297000,1375000,"[102,19,0,0]"
2247,55,5,1,254520,1260000,"[102,18,0,0]"
2248,55,5,2,259610,1272600,"[102,18,0,0]"
2249,55,5,3,264750,1285200,"[102,18,0,0]"
2250,55,5,4,269942,1297800,"[102,18,0,0]"
2251,55,5,5,275184,1310400,"[102,18,0,0]"
2252,55,5,6,283146,1335600,"[102,18,0,0]"
2253,55,5,7,291210,1360800,"[102,18,0,0]"
2254,55,5,8,299376,1386000,"[102,19,0,0]"
2255,55,6,1,0,0,[]
2256,56,1,1,256540,1270000,"[102,18,0,0]"
2257,56,1,2,261670,1282700,"[102,18,0,0]"
2258,56,1,3,266852,1295400,"[102,18,0,0]"
2259,56,1,4,272084,1308100,"[102,18,0,0]"
2260,56,1,5,277368,1320800,"[102,18,0,0]"
2261,56,1,6,285394,1346200,"[102,18,0,0]"
2262,56,1,7,293522,1371600,"[102,18,0,0]"
2263,56,1,8,301752,1397000,"[102,19,0,0]"
2264,56,2,1,258560,1280000,"[102,18,0,0]"
2265,56,2,2,263730,1292800,"[102,18,0,0]"
2266,56,2,3,268952,1305600,"[102,18,0,0]"
2267,56,2,4,274226,1318400,"[102,18,0,0]"
2268,56,2,5,279552,1331200,"[102,18,0,0]"
2269,56,2,6,287640,1356800,"[102,18,0,0]"
2270,56,2,7,295832,1382400,"[102,18,0,0]"
2271,56,2,8,304128,1408000,"[102,19,0,0]"
2272,56,3,1,260580,1290000,"[102,18,0,0]"
2273,56,3,2,265790,1302900,"[102,18,0,0]"
2274,56,3,3,271054,1315800,"[102,18,0,0]"
2275,56,3,4,276368,1328700,"[102,18,0,0]"
2276,56,3,5,281736,1341600,"[102,18,0,0]"
2277,56,3,6,289888,1367400,"[102,18,0,0]"
2278,56,3,7,298144,1393200,"[102,18,0,0]"
2279,56,3,8,306504,1419000,"[102,19,0,0]"
2280,56,4,1,262600,1300000,"[102,18,0,0]"
2281,56,4,2,267852,1313000,"[102,18,0,0]"
2282,56,4,3,273156,1326000,"[102,18,0,0]"
2283,56,4,4,278512,1339000,"[102,18,0,0]"
2284,56,4,5,283920,1352000,"[102,18,0,0]"
2285,56,4,6,292136,1378000,"[102,18,0,0]"
2286,56,4,7,300456,1404000,"[102,18,0,0]"
2287,56,4,8,308880,1430000,"[102,19,0,0]"
2288,56,5,1,264620,1310000,"[102,18,0,0]"
2289,56,5,2,269912,1323100,"[102,18,0,0]"
2290,56,5,3,275256,1336200,"[102,18,0,0]"
2291,56,5,4,280654,1349300,"[102,18,0,0]"
2292,56,5,5,286104,1362400,"[102,18,0,0]"
2293,56,5,6,294382,1388600,"[102,18,0,0]"
2294,56,5,7,302766,1414800,"[102,18,0,0]"
2295,56,5,8,311256,1441000,"[102,19,0,0]"
2296,56,6,1,0,0,[]
2297,57,1,1,266640,1320000,"[102,18,0,0]"
2298,57,1,2,271972,1333200,"[102,18,0,0]"
2299,57,1,3,277358,1346400,"[102,18,0,0]"
2300,57,1,4,282796,1359600,"[102,18,0,0]"
2301,57,1,5,288288,1372800,"[102,18,0,0]"
2302,57,1,6,296630,1399200,"[102,18,0,0]"
2303,57,1,7,305078,1425600,"[102,18,0,0]"
2304,57,1,8,313632,1452000,"[102,19,0,0]"
2305,57,2,1,268660,1330000,"[102,18,0,0]"
2306,57,2,2,274032,1343300,"[102,18,0,0]"
2307,57,2,3,279458,1356600,"[102,18,0,0]"
2308,57,2,4,284938,1369900,"[102,18,0,0]"
2309,57,2,5,290472,1383200,"[102,18,0,0]"
2310,57,2,6,298876,1409800,"[102,18,0,0]"
2311,57,2,7,307388,1436400,"[102,18,0,0]"
2312,57,2,8,316008,1463000,"[102,19,0,0]"
2313,57,3,1,270680,1340000,"[102,18,0,0]"
2314,57,3,2,276092,1353400,"[102,18,0,0]"
2315,57,3,3,281560,1366800,"[102,18,0,0]"
2316,57,3,4,287080,1380200,"[102,18,0,0]"
2317,57,3,5,292656,1393600,"[102,18,0,0]"
2318,57,3,6,301124,1420400,"[102,18,0,0]"
2319,57,3,7,309700,1447200,"[102,18,0,0]"
2320,57,3,8,318384,1474000,"[102,19,0,0]"
2321,57,4,1,272700,1350000,"[102,18,0,0]"
2322,57,4,2,278154,1363500,"[102,18,0,0]"
2323,57,4,3,283662,1377000,"[102,18,0,0]"
2324,57,4,4,289224,1390500,"[102,18,0,0]"
2325,57,4,5,294840,1404000,"[102,18,0,0]"
2326,57,4,6,303372,1431000,"[102,18,0,0]"
2327,57,4,7,312012,1458000,"[102,18,0,0]"
2328,57,4,8,320760,1485000,"[102,19,0,0]"
2329,57,5,1,274720,1360000,"[102,18,0,0]"
2330,57,5,2,280214,1373600,"[102,18,0,0]"
2331,57,5,3,285762,1387200,"[102,18,0,0]"
2332,57,5,4,291366,1400800,"[102,18,0,0]"
2333,57,5,5,297024,1414400,"[102,18,0,0]"
2334,57,5,6,305618,1441600,"[102,18,0,0]"
2335,57,5,7,314322,1468800,"[102,18,0,0]"
2336,57,5,8,323136,1496000,"[102,19,0,0]"
2337,57,6,1,0,0,[]
2338,58,1,1,276740,1370000,"[102,18,0,0]"
2339,58,1,2,282274,1383700,"[102,18,0,0]"
2340,58,1,3,287864,1397400,"[102,18,0,0]"
2341,58,1,4,293508,1411100,"[102,18,0,0]"
2342,58,1,5,299208,1424800,"[102,18,0,0]"
2343,58,1,6,307866,1452200,"[102,18,0,0]"
2344,58,1,7,316634,1479600,"[102,18,0,0]"
2345,58,1,8,325512,1507000,"[102,19,0,0]"
2346,58,2,1,278760,1380000,"[102,18,0,0]"
2347,58,2,2,284334,1393800,"[102,18,0,0]"
2348,58,2,3,289964,1407600,"[102,18,0,0]"
2349,58,2,4,295650,1421400,"[102,18,0,0]"
2350,58,2,5,301392,1435200,"[102,18,0,0]"
2351,58,2,6,310112,1462800,"[102,18,0,0]"
2352,58,2,7,318944,1490400,"[102,18,0,0]"
2353,58,2,8,327888,1518000,"[102,19,0,0]"
2354,58,3,1,280780,1390000,"[102,18,0,0]"
2355,58,3,2,286394,1403900,"[102,18,0,0]"
2356,58,3,3,292066,1417800,"[102,18,0,0]"
2357,58,3,4,297792,1431700,"[102,18,0,0]"
2358,58,3,5,303576,1445600,"[102,18,0,0]"
2359,58,3,6,312360,1473400,"[102,18,0,0]"
2360,58,3,7,321256,1501200,"[102,18,0,0]"
2361,58,3,8,330264,1529000,"[102,19,0,0]"
2362,58,4,1,282800,1400000,"[102,18,0,0]"
2363,58,4,2,288456,1414000,"[102,18,0,0]"
2364,58,4,3,294168,1428000,"[102,18,0,0]"
2365,58,4,4,299936,1442000,"[102,18,0,0]"
2366,58,4,5,305760,1456000,"[102,18,0,0]"
2367,58,4,6,314608,1484000,"[102,18,0,0]"
2368,58,4,7,323568,1512000,"[102,18,0,0]"
2369,58,4,8,332640,1540000,"[102,19,0,0]"
2370,58,5,1,284820,1410000,"[102,18,0,0]"
2371,58,5,2,290516,1424100,"[102,18,0,0]"
2372,58,5,3,296268,1438200,"[102,18,0,0]"
2373,58,5,4,302078,1452300,"[102,18,0,0]"
2374,58,5,5,307944,1466400,"[102,18,0,0]"
2375,58,5,6,316854,1494600,"[102,18,0,0]"
2376,58,5,7,325878,1522800,"[102,18,0,0]"
2377,58,5,8,335016,1551000,"[102,19,0,0]"
2378,58,6,1,0,0,[]
2379,59,1,1,286840,1420000,"[102,18,0,0]"
2380,59,1,2,292576,1434200,"[102,18,0,0]"
2381,59,1,3,298370,1448400,"[102,18,0,0]"
2382,59,1,4,304220,1462600,"[102,18,0,0]"
2383,59,1,5,310128,1476800,"[102,18,0,0]"
2384,59,1,6,319102,1505200,"[102,18,0,0]"
2385,59,1,7,328190,1533600,"[102,18,0,0]"
2386,59,1,8,337392,1562000,"[102,19,0,0]"
2387,59,2,1,288860,1430000,"[102,18,0,0]"
2388,59,2,2,294636,1444300,"[102,18,0,0]"
2389,59,2,3,300470,1458600,"[102,18,0,0]"
2390,59,2,4,306362,1472900,"[102,18,0,0]"
2391,59,2,5,312312,1487200,"[102,18,0,0]"
